time_delay_ps,power_initial_w,power_1z0_w,power_3z0_w
-7.421875,1.4305431592711813e-05,1.3996197593293852e-05,1.4830896901359714e-05
-7.382812499999999,1.5467858699533852e-05,1.5158631218276942e-05,1.600167867558858e-05
-7.343749999999999,1.6724741932335868e-05,1.6410669470936397e-05,1.72675426943707e-05
-7.3046875,1.8083756563102334e-05,1.7770142645908158e-05,1.8633664081609055e-05
-7.265625,1.9553201535242448e-05,1.9245943860501458e-05,2.0115162159209163e-05
-7.226562499999999,2.1142050141027003e-05,2.0848374833262472e-05,2.170789923021607e-05
-7.187499999999999,2.2860004816838546e-05,2.258798871839678e-05,2.3438974348041016e-05
-7.148437499999999,2.4717556390818337e-05,2.4464233686498566e-05,2.531141266474188e-05
-7.109375,2.6726048144676557e-05,2.6492873596130853e-05,2.7322343190343508e-05
-7.0703125,2.8897745080826502e-05,2.869197163463143e-05,2.949221903050859e-05
-7.03125,3.124590881778175e-05,3.1059999845674626e-05,3.1839103108753596e-05
-6.992187499999999,3.378487857111739e-05,3.3606253491909765e-05,3.4380384047430846e-05
-6.953124999999999,3.6530158714448896e-05,3.635301073368008e-05,3.712668614314261e-05
-6.914062499999999,3.9498513455053235e-05,3.933250424824841e-05,4.008798748504403e-05
-6.875,4.270806920218914e-05,4.2547622181240886e-05,4.327258400650784e-05
-6.8359375,4.617842525313459e-05,4.602905710504937e-05,4.6726208994859484e-05
-6.796875,4.993077347273658e-05,4.980396034573839e-05,5.046351289251761e-05
-6.757812499999999,5.3988027697164446e-05,5.3878323058095034e-05,5.4493129607415696e-05
-6.718749999999999,5.837496365191738e-05,5.828904294584451e-05,5.885732036129055e-05
-6.679687499999999,6.31183702383148e-05,6.307483444105984e-05,6.35663000082184e-05
-6.640625,6.82472131120869e-05,6.824194288940734e-05,6.866207577654998e-05
-6.6015625,7.379281155270559e-05,7.38461173343716e-05,7.416140907375767e-05
-6.5625,7.97890297032158e-05,7.989600798016916e-05,8.011254046972367e-05
-6.523437499999999,8.627248334802456e-05,8.642792192319361e-05,8.653238536002555e-05
-6.484374999999999,9.32827634909277e-05,9.347658412243275e-05,9.348036192868263e-05
-6.445312499999999,0.00010086267809817769,0.00010108885749425033,0.0001009906630489584
-6.40625,0.00010905851348223175,0.00010933429433319423,0.00010908329711054499
-6.3671875,0.00011792031692165958,0.00011824489454030086,0.00011784547136483315
-6.328125,0.00012750220224225868,0.0001279006452959263,0.00012733920538133653
-6.289062499999999,0.0001378626802244966,0.00013832095007550377,0.00013762732243323623
-6.249999999999999,0.00014906501585384857,0.00014956094191075287,0.00014876431421961806
-6.210937499999999,0.0001611776145943345,0.00016170732298548558,0.00016083633407434775
-6.171875,0.00017427444004256747,0.0001748565106932293,0.00017391580198537575
-6.1328125,0.00018843546551100226,0.00018906806800139127,0.0001880650637724086
-6.09375,0.00020374716229597307,0.00020443794047292124,0.0002033273803122989
-6.054687499999999,0.00022030302760976973,0.00022102653603130282,0.00021986066889229366
-6.015624999999999,0.00023820415539781224,0.00023899496106881868,0.00023772759442258957
-5.9765625,0.0002575598535233948,0.00025840360035733236,0.00025705218882794765
-5.9375,0.00027848831108505113,0.00027937506184521135,0.00027794873939727705
-5.8984375,0.0003011173199370854,0.00030204430544910574,0.0003005466270210639
-5.859375,0.00032558505481405903,0.00032656713351116555,0.00032498315948669337
-5.820312499999999,0.00035204091681698797,0.0003530439619161728,0.00035141089344357495
-5.781249999999999,0.00038064644540489895,0.000381644556656641,0.00037998360151594233
-5.7421875,0.0004115763044525145,0.0004125302280483334,0.00041087011208265357
-5.703125,0.0004450193483856967,0.0004458833763970224,0.0004443062095531032
-5.6640625,0.00048117977489362,0.00048195777766377895,0.00048040273134162463
-5.625,0.0005202783712434036,0.0005209388724513009,0.0005194209596740967
-5.585937499999999,0.0005625538617922335,0.0005630586153540131,0.0005616358045402838
-5.546874999999999,0.0006082643649073231,0.0006086463914749995,0.0006073372276119728
-5.5078125,0.0006576889681690868,0.0006579812992282626,0.0006568061220321523
-5.46875,0.0007111294314515339,0.0007113631994495887,0.0007103495324434843
-5.4296875,0.0007689120282505695,0.0007690230955471283,0.0007682668518530172
-5.390625,0.0008313895364701484,0.0008314020498328993,0.0008308300588463012
-5.351562499999999,0.0008989433907830804,0.0008987967824667493,0.000898440167137472
-5.312499999999999,0.0009719860096631786,0.000971662896174415,0.0009716063374181225
-5.2734375,0.0010509633112441765,0.0010505134028068249,0.0010506598582472482
-5.234375,0.0011363574333046206,0.0011357889925065654,0.0011361639018873434
-5.1953125,0.0012286896739136172,0.001227929752629535,0.0012285919062649288
-5.15625,0.0013285236706071643,0.001327592651043696,0.001328525134062126
-5.117187499999999,0.0014364688374065365,0.0014353040462235268,0.0014365649657584626
-5.078124999999999,0.0015531840805474172,0.0015518647373151165,0.0015533826015735896
-5.0390625,0.001679381815470232,0.001677869066539566,0.0016796558820963829
