wavelength_shift_nm,spec_input_norm,spec_kerr_norm,spec_raman_norm
-410.31052222134286,1.3194605976474913e-23,1.3589915209797333e-25,5.536429474324254e-24
-407.10497126648863,1.5898818723733863e-23,7.016598019246452e-23,2.8572658486206663e-23
-403.8994203116344,1.32831015913356e-23,4.750358515188465e-23,3.6137004712743564e-23
-400.69386935678017,1.754459700776867e-23,2.017077445771744e-22,4.882178514798205e-23
-397.4883184019259,1.3042849947626238e-23,3.1344951944227554e-22,1.4794692530235973e-22
-394.28276744707165,1.9875184629325585e-23,5.680270063915812e-22,1.2401408327673256e-22
-391.0772164922175,1.2273652233302101e-23,9.889019845938927e-22,3.8092845558552966e-22
-387.87166553736324,2.3372988217324812e-23,1.3314576345839694e-21,2.8926284290008225e-22
-384.66611458250895,1.0705042014926924e-23,2.2164355922633103e-21,7.706277556441684e-22
-381.4605636276547,2.8942656469126027e-23,2.7283776661035017e-21,7.009515560084273e-22
-378.2550126728005,8.061938906980438e-24,5.024423828564372e-21,1.783025529832761e-21
-375.0494617179462,3.835563189955169e-23,7.039682246669028e-21,2.2809059388345355e-21
-371.843910763092,4.330056214181862e-24,1.392287243208642e-20,4.98448239801677e-21
-368.6383598082377,5.526374355619301e-23,2.1680294157296443e-20,7.31220349422365e-21
-365.4328088533835,6.32884686783595e-25,3.8771254272361866e-20,1.3481881630884386e-20
-362.2272578985293,8.756601412696687e-23,5.449174123922666e-20,1.8550576444407476e-20
-359.02170694367493,1.7940459618867256e-24,7.987721649452399e-20,2.8342038949630533e-20
-355.81615598882075,1.5312811170044826e-22,9.665236470960396e-20,3.456448168584189e-20
-352.6106050339666,2.3452546817744e-23,1.2227467310363563e-19,4.607738066229377e-20
-349.4050540791123,2.938796929345188e-22,1.3507759857515766e-19,5.356098273712713e-20
-346.19950312425806,1.1125299263591957e-22,1.6689653637215011e-19,7.115301120201336e-20
-342.9939521694038,6.110909834264215e-22,1.915968614457393e-19,9.062823195247565e-20
